Unnamed: 0,AREA,Código HAC,Denominación,Tipo equipo,VOSOA,Unnamed: 6,RUTI,Unnamed: 8,COR,Unnamed: 10,ACEITE,Unnamed: 12,VIB,Unnamed: 14,TERMO,Unnamed: 16,DES,Unnamed: 18,DUREZA,Unnamed: 20,EMD,Unnamed: 22,VT / LP,Unnamed: 24,PM,Unnamed: 26,UT,Unnamed: 28,ESPESOR,Unnamed: 30,Comentarios,Fecha intervención y alcance,_computed_score,_computed_matches
,300,CS.361-AP1,ACCIONAMIENTO PRINCIPAL MOLINO CRUDO.,AP,,"HACER SEGUIMIENTO: El cojinete del motor, LOA, resuda aceite por la tapa. No se está filtrando a las escobillas, por lo que el problema está en el sellado de las tapas. Hay que sacar las medias lunas y sellar bien de nuevo las tapas",,"- Reportado Aviso para SEM47 Limpieza exterior cojinetes y revisión Nivel Aceite Cojinetes Motor (ENGR)
- Insp. Interior Reductor 25/OCT/24 - Formación Espuma y Estado Lubricación - Reportar aviso para Cambio Aceite y Flushing Interior Cárter.",,,,,,,,,,,,,,,,,,,,,,,Pedir Limpieza en Motor y Reductor. ,,2.0,MEDIA:2.0
,300,CS.361-MR1,MOLIENDA DE CRUDO,MR,,"- El engrase de un rodamiento del balancín del R1 está obstruido. Hay que abrir los discos axiales y comprobar. Estos discos se instalaron nuevo en 2023
HECHO: Se revisa y se rasquetea la teja. Episodios de alta tª en el cojinete lado acoplam. del motor principal. Valorar la revisión de la teja
HECHO:El Rodillo 1, recién instalado, está perdiendo aceite por la junta G. Hay que reemplazarlo.
HECHO: Se ha roto la unión del cajón del rodillo 1 con el soporte. Se ha puesto un soporte provisional. También se ha partido la abrazadera de la muñequilla. Se va a cambiar el cajón y se va a aprovechar para reemplazar el rodillo 1, que es el siguiente que toca reemplazar por desgaste de la camisa",,"- Se ha cambiado el rodamiento del lado libre. Falta el del lado fijoHolgura de 2,57mm en el rodamiento del lado libre del balancín del rodillo 4. Hay que girar el rodamiento, o reemplazarlo 
HECHO:  Holgura de 2mm en el rodamiento del lado fijo del balancín del rodillo 1. En el lado libre la holgura es de 0,65mm. Hay que preveer el reemplazo de los discos axiales y de los dos rodamientos
HECHO: Los balancines de los rodillos 3 y 4 están obstruidos. Los platos estarán desgastados y no circula la grasa. Hay que desmontarlos y revisarlos",,,,"- HACER SEGUIMIENTO (ACEITE REEMPLAZADO):  El aceite del reductor presenta mucha espuma. Se ha hecho un análisis del aditivo anti-espumante. Ha salido desfavorable. Hay que analizar bien la causa raíz y establecer un plan de acción urgente. Además, hay que valorar la realización de un flushing en el reductor
- HECHO: Se cambia el aceite. El aceite del reductor presenta un color bastante oscuro. En los análisis de aceites se ve un incremento del valor de la acidez. ",,En el informe de DALOG se observa un ligero incremento de las bandas laterales a la frecuencia de engrane del tren de entrada. No parece estar relacionado con cambio en la molienda. Hay que inspeccionar el tren de entrada,,,,"- Hay que sustituir por desgaste la camisa del rodillo 4. Aviso hecho
- Se va a sustituir el DAM RING en Marzo 2024 con el proyecto de recirculación del Crudo
- HECHO (Dic 2023): Hay que sustituir por desgaste la camisa del rodillo 3 del Molino
- HECHO: Reemplazar R2 por desgaste en Dic. 2022
- HECHO: Recargue mesa MC 
- HECHO: Hay que reemplazar R1 por desgaste",,,,HECHO: Problemas de desgaste en las escobillas. Todo apunta a que es causado por los anillos del rotor. Hay que mecanizarlos,,,,,,,,,"Ver engrase Rodamiento balancines: Verificar obstrucción.

PENDIENTE: Ver Mediciones Desgaste Pista ",,3.0,ALTA:3.0
,300,CS.361-SP1,MOLIENDA DE CRUDO,SP,,"HECHO: En la rutina de lubricación se ha comprobado que el engrasador que va al rodamiento de abajo estaba obstruido, sin embargo, la válvula de seguridad, tarada a 200bar, no ha saltado. Hay que desmontar la bomba y comprobar el inyector. O reemplazar la bomba. Es probable que tenga holgura y no meta bien la presión",,"HECHO: 
- Reemplazar las palas estáticas y las dinámicas por desgaste. Además, hay que reparar un paño de unos 3m de largo de densit, y una placa de blindaje
- Reparación de una pala estática, del cable de seguridad y dl cuadrado de seguridad de las palas dinámicas
- Reparación de la base donde apoyan las palas estáticas. Tiene mucho desgaste y varias perforaciones
- Reparación del techo del separador. También tiene mucho desgaste y perforaciones
- Reparación del llantón de la junta dinámica. Tiene más de 20mm de desgaste en toda la circunferencia
- Reemplazo de las palas estáticas, que presentan elevado desgaste. Hacer en parada 22SDK1S3 (HECHO)",,,,,,"Se comprueba la holgura del rodamiento LA del motor. Tiene casi 1mm. Se revisa espectro de holgura y peakvue, presentando valores admisibles y estables desde hace meses. Se va a realizar seguimiento exhaustivo, pero, por ahora, no se va a realizar aviso para reemplazo",,,,,,,,,,,,,,,,,"Medir Vibraciones y revisar configuración mediciones. Revisar Holguras en Espectro.

El motor presenta espectro de holgura. Se ha comprobado la holgura con palanca. Hacer seguimiento",,23.0,PERFORACIONES:20.0;ALTA:3.0
,300,CS.361-UH1 ,SISTEMA HIDRÁULICO RODILLOS MOLINO CRUDO ,UH,,"- Insp. Visual (23/OCT/24) en Fosos Arquetas Sistema Hidráulico Crudo por reposiciones recurrentes  durante OCT/24 (+330L) sin fugas relevantes en la parte exterior del circuito. Se detecta el foso totalmente inundado. Se reporta aviso para destapar arquetas, vaciar foso, revisar sistema hidráulico y detectar y corregir fugas.
- Insp. Visual en Cilindros Rodillos, se detectan fugas leves en Cilindros 1-2.",,"- Ejecutar rutina de revisión acumuladores y evaluar acumuladores comunicados. Realizada Insp. Termográfica. Acumuladores OK, Fugas por Cilindro Nº3. Prevista sustitución 14/NOV/24.",,,,,,,,,,,,,,,,,,,,,,,,,0.0,
,300,CS.361-VE1,VENTILADOR EVACUACION GASES MOLINO,VE,,"HECHO: Rodamiento reemplazado. Aumento de la Tª y del Peakvue en rodamiento C ventilador. Se revisa el acoplamiento, se han cambiado todos los tacos, y se ha cambiado el aceite (se ha pasado de un ARIES 68  a un SUPERTAURO 100). El peakvue se mantiene alto. Se revisa el rodamiento. Tiene mucha grasa sucia- Se limpia lo que se puede. Mejora el peakvue, pero sigue alto. HACER SEGUIMIENTO Y PREVEER REEMPLAZO
HACER SEGUIMIENTO: El aceite del cojinete se ha metido dentro del compartimento del motor, habiendo llegado hasta los ventimotores, aspirado por ellos. Se limpia.",,"HECHO: Rodete recargado (Insp. Interior mensual Ventilador Equipo Rutinas Mecánicas detecta durante AGO/24 desgaste irregular en lateral rodete, Insp.SEP/24 no se puede realizar por interferencias proceso.) Se recarga rodete el V/25/OCT/24, se miden vibraciones, no se requiere equilibrado.
Desgaste en parte inferior oído. Parechar durante este año, y prever reemplazo para 2025.
HECHO: Escudo reemplazado. El escudo del ventilador presenta perforaciones, y los álabes tienen también desgaste. Se va a planificar en un paro del MC el recargue de esas perforaciones del escudo. Aun así, para diciembre hay que planificar para la el montaje de un escudo nuevo y el recargue de los álabes. ",,,,,,HECHO: Rodamiento reemplazado. Aumento del peakvue en el rodamiento C del ventilador. MP= 10G's,,,,,,,,Las bandas laterales del espectro de frecuencia en las corrientes absorbidas por el motor están en nivel de alarma. Realizar seguimiento.,,,,,,,,,"Desgaste en parte inferior oído. Parechar durante este año, y prever reemplazo para 2025.",,20.0,PERFORACIONES:20.0
,300,CS.361-VR1,RUEDA DE ESCLUSAS ALIMENTACIÓN MOLINO,VR,,,,,,,,Se cambian retenes en Parada marzo 2021,,,,,,,,,,,,,,,,,,,,,0.0,
,300,CS.391-EC1,ELEVADOR TRANSPORTE AEROS CRUDO - SILOS.,EC,,"Han aumentado las vibraciones en el motor, apreciándose una gran modulación producida por la velocidad del eje de salida:
- Hay que cambiar el retén del eje de salida
- Prever repuesto de los rodamientos del eje de salida
- Revisar el acoplamiento del reductor con el tambor motriz (es un JAURE MT-138)",,"- Reportado Aviso SEM47: Insp. Visual Banda y Mediciones dureza, Dureza dentro de límites, sin variaciones en valores histórico.
- Hay que prever el reemplazo de los sectores del tambor motriz para 2023. Aviso hecho
- La mayoría de cangilones tienen la tornillería floja. Hay que reapretarlos. Faltan tornillos por cambiar aún
- HECHO: Reemplazo rodamiento tambor tensor (holgura lado AA: 1mm. Lado CS: 0,2mm)
- HECHO: Hay que cambiar los rodamientos del tambor tensor (holgura superior a 1mm)",,,,,,,,,,,,,,,,,,,,"HACER SEGUIMIENTO: Se observa una indicación a una distancia de 1870 desde el extremo libre. Dicha indicación es confirmada desde el extremo acoplado a una distancia de 420 mm. Se retira la tapa del rodamiento, pero no es posible ver la superficie del eje, ya que en esta zona se encuentra el sello entre la carcasa, el eje y el rodamiento. Aparentemente la indicación detectada no es típica de una grieta, por lo que se piensa que puede ser algún tipo de reparación realizada en la zona del rodamiento.",,,"UT: Revisar Indicación en Eje accto a 1870 desde Lado Libre.

MECA: Pendiente sustitución sectores, cambio gomas Tambor Motriz y sustitución tornillería previa.

Motor y reductor reemplazados en parada 21SDK1B2",KSD Junio 2021 / Marzo 2022,3.0,ALTA:3.0
,400,CS.421-FT1,FILTRO DE MANGAS HORNO,FT,,,,"PENDIENTE:
- Reparación compensador salida (OT: 94238102)

HECHO:
- Sust. Compensador Entrada Parada FEB/24 + Reparación exterior parcial en Compensador Salida.  
- Calderines y sistema disparo mangas montado nuevo en Parada FEB/24.

",,,,,,,,,,,,,,,,,,,,,,,,,0.0,
,400,CS.421-VE1,VENTILADOR DE TIRO FILTRO CRUDO-HORNO,VE,,"Hay desalineación entre el motor y el ventilador (motor 0,75mm más elevado. El límite es 0,49mm). Se ha comprobado el rodamiento del ventilador y está OK. Hay que alinearlos. En vibraciones los valores son bajos. Los tacos están nuevos",,,,,,,,- Peakvue alto en punto A motor 421-VE1 (BPFO). Se echa grasa y mejora. Hay que hacer seguimiento y preveer reemplazo,,,,,,,,Se reemplaza el motor en diciembre de 2020 por uno de ABB de más potencia (1300kW),,,,,,,,,Medir Vibraciones: Revisar M2-BPFO y Desalineación,,0.0,
,400,CS.431-EC1,ELEVADOR DE CANGILONES DE HARINA,EC,,"- HECHO: Se cambian ambos rodamientos. Estaba mal el del lado MT. Se ha visto polvo bajo el rodamiento lado Playa. En un paro imprevisto hay que revisar el rodamiento por si está dañado. Si no, en la parada de diciembre
- Ruido extraño en reductor. Parece ser el anti-retorno. Se revisa en paro imprevisto del día 07/05/2021. Se desmontan las tapas, se revisa el reductor, el anti-retorno, se comprueban holguras, se le da marcha en vacío, y no se ve nada raro. Hay que hacerle seguimiento",,"- Están saliendo pompas en la banda del elevador. Hay que investigar la causa raíz y preparar reemplazo
- Hay que cambiar los tacos del acoplamiento entre el motor y el reductor. Se ven duros y cuarteados
HECHO: Desmontar cajeras rodamientos tambor tensor y recargar. Parada 22SDK1B1. 
Fisura perpendicular a dirección transporte encontrada. La reparación va bien. Se hace seguimiento",,,,,,,,,,,,,,,,,,,,,,,"PDT Reportar Aviso para Cambio Banda.

Revisar estado banda, valorar urgencia, revisar apriete tornillos cangilones, posible causa raiz pompas en cara interior banda?

Seguimiento nuevos soportes tambor tensor",,0.0,
,400,CS.431-GU1,SINFIN ALIMENTACIÓN HARINA RAMAL CS,GU,,,,"HECHO: 
- Cambio Acoplamiento JAURE (Tipo MT-132) Reductor-Sinfin por desgaste elevado. Parado FEB-MAR/24",,,,,,,,,,,,,,,,,,,,,,,,,0.0,
,400,CS.431-GU2,SINFIN ALIMENTACIÓN HARINA RAMAL AA,GU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
,400,CS.441-VE1,EXHAUSTOR LADO CARBONERAS,VE,,"- Desgaste excesivo en álabes y disco del rodete. Recargado en Paro HR FEB-MAR/24 - PENDIENTE Reemplazo para 2025
HECHO: Hay que recargar la unión de los álabes con el disco, por la parte interior
HECHO: Hay que recargar las soldaduras de unión de las pletinas de refuerzo de los álabes del rodete",,"- 11/NOV/24 - Calentamiento Rodamiento Motor LA - Exhaustor lado CS: Cantidades Engrase y tipo grasa correcta, apertura cazoletas ejecutada en AGO/24 en engrase anterior. Ajustar Frecuencias Engrase y Modificar Tapa Cazoletas / Protecciones para apertura + Lubricación UT Rodamientos en próxima ejecución. ",,,,,,HACER SEGUIMIENTO: Aumento de peakvue en punto B,,,,,,,,,,,,,,,,,Revisar compensadores --> Decalar 20 rpm velocidades,,0.0,
,400,CS.441-VE2,EXHAUSTOR LADO AGUAMARGA,VE,,HECHO: Desgaste excesivo en álabes y disco del rodete. Reemplazado en Paro HR FEB-MAR/24 - 24SDK1B1,,,,,,,,,,,,,,,,,,,,,,,,,"PENDIENTE: Reportar aviso para cambio Rodete.

Revisar compensadores --> Decalar 20 rpm velocidades. ",,0.0,
,400,CS.461-AP1,ACCTO.PRINCIPAL NRO.1 LADO CS.,AP,,,,,,,,"El hierro está en aumento. Hacer seguimiento al análisis de vibraciones. A ver si hay algún roddamiento o piñón en deterioro. Ver el estado del aceite, filtros, etc",,"HECHO: El rodamiento del lado libre del piñón lado CS del horno esta mal. Hay que cambiarlo. Tiene mucha holgura y desportillados en la pista externa. Se ha medido con UT y vibraciones, comparando con el rodamiento gemelo del lado AA.
En UT hay 35-40dB en lado CS y 10dB en lado AA (muchísima diferencia de energía de impacto a nivel de UT)
En G's, la forma de onda del lado CS indica claramente impactos fuera de lo admisible. ",,,,,,,,,,,,,,,,,"Se cambia el motor en el paro de marzo 2021

Revisar Tendencia %PPM Hierro en Análisis Aceite.",,0.0,
,400,CS.461-AP2,ACCTO.PRINCIPAL NRO.2 LADO AA.,AP,,,,,,,,,,,,,,Revisar desgaste acoplamiento reductor-piñón,,,,,,,,,,,,,Se cambian los tacos del acoplamiento en PIH de septiembre 2021,,0.0,
,400,CS.461-HR1,HORNO ROTATIVO DE SATELITES,HR,,"- PENDIENTE Paro HR 2025: Inspección NDT en el aro 3 en la parada del horno. Virola bajo Aro Ha sufrido fuertes episodios de Tª
- Movimiento relativo elevado en aro 1. Valorar calzo en 2024
- HECHO: Se está desconchando la seta del empujador 2. Hay que mecanizarla en la parada de 2023
- HECHO: Se está desconchando el rodillo del apoyo 2 AA. Hay que mecanizarlo. Hacer en 22SDK1S3
- HECHO (Comprobar Ovalidad): Ovalidad muy alta en aro 4, provocando fisuras en los tacos. Necesario calzar el aro
- HECHO: Fisuras en los tacos del aro 4. Necesario reparar.",,"- HECHO: Instalado sistema de grafitos en el apoyo 3 lado AA para mejorar la lubricación entre aro y rodillo. Paro HR FEB-MAR/24
- Deformación radial chapa horno bajo corona y entre corona aro 2. 
HECHO: Se ha sacado tras varios paros por Tª. Hay que sacar el cojinete 8 (apoyo 2 AA-PL). Hemos tenido varios episodios de Tª, además de alto contenido en Al y Fe, indicativo de arrastre
HECHO: Rodillo apoyo 1 AA, fisura en roldana. Reemplazar rodillo",,"Run out radial
Diente corona",,"- Se hace aviso para sacar el cojinete 11 (apoyo 3 AA-MT) y revisar la teja (24SDK1B1). Valorar antes un cambio de aceite de 680 a 1000. En las muestras de los últimos años sale con Al y Fe elevado. Se cambia el aceite, y al poco vuelve a salir elevado. Se va a sacar una nueva muestra adicional antes del paro de agosto.
HECHO: Se cambia en la parada el aceite a los cojinetes siguientes: Estación 1 CS-PL. Estación 2 AA-PL y CS-MT. Estación 3 AA-MT. Ver detalle en pestaña análisis aceites
HECHO: Hay que cambiar el aceite del cojinete Apoyo 2 AA (cojinete 8). Después del episodio de Alta Temperatura, el aceite está en malas condiciones
HACER SEGUIMIENTO: En los últimos análisis  de los cojinetes del apoyo 3 lado AA ha salido alto el Aluminio. Cambiar el aceite en la parada 22SDK1S3 e investigar el porqué",,,,,,,,,,,,"- HECHO: Hay que reparar fisuras en los satélites. Las más urgentes son las dos siguientes:
fisura tipo 1 de 700mm en la cuna entre satélites 9-10. Dos fisura tipo 1. Una de 300m y otra de 850mm en la cuna de los satélites 2-3",,,,"Se han detectado indicios de fisuras en la transición, lado PL, del aro 2. Hay que realizar una inspección a fondo de esta transición",,,"Enviar Muestra Aceite, Revisar tendencias Aluminio.
+
Destapar cajas y revisar holguras axiales.
",,3.0,ALTA:3.0
,400,CS.461-RH1-2-3-4,RODILLOS HORNO ARO 1-2-3-4,HR,,"- Insp. Visual en marcha el 23/OCT, se detecta acumulación material y aceite en foso Aro 3, por fugas Cojinete Nº11 Aro 3 Lado AA-MT se reporta Aviso: 13066472 para Limpieza Fosos 25SDK1B1.",,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
,400,CS.481-VT1,VENTILADOR 1 QUEMADOR DEL HORNO,VE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
,400,CS.481-VT2,VENTILADOR 2 QUEMADOR DEL HORNO,VE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
,400,CS.481-VT3,VENTILADOR 3 QUEMADOR DEL HORNO,VE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
,400,CS.491-TC1,ELEVADOR DE CANGILONES-I EVAC. HORNO,TC,,"HACER SEGUIMIENTO: Se le ha dado la vuelta a la tapa y se ha graneteado para mejorar la interferencia. Hay que revisar el rodamiento del lado libre del elevador. Al quitar la tapa para hacer UT, se han visto rebabas de la misma, producidas por roce con el rodamiento, posiblemente por estar flojo
HECHO: Pérdida de aceite reductor ejes entrada y salida. ",,"Raíles con desgaste irregular. Hay una diferencia de 9mm entre un lado y otro, produciendo un desgaste cónico en los rodillos de la cadena
(49) Cangilones con holgura en tornillos
Guarderas en mal estado/faltan
Sectores motrices con elevado desgaste
La mayoría de casquillos están rotos
Los rodamientos del tambor tensor están con 0,7mm de holgura. Hay que cambiarlos",,,,,,,,,,"- Desgaste sectores motrices y tensores (10-15mm)
-(86) Casquillos y cadena desgastados
guías desgastadas tambor tensor
-Ruedas desgastadas ",,,,,,Cangilones desgastados,,,,,,"guías desgastadas tambor tensor
cangilones desgastados 
","(Se desmontaria con CAPEX Enfriador)

Previsto cambio de cadena, valorar estado ruedas, railes, cangilones, sectores motrices y reenvío.

",,3.0,ALTA:3.0
,400,CS.491-TC2,ELEVADOR CANGILONES N.2 EVACUACION HORNO,TC,,"HECHO:
- Reparación de varias fisuras en las caídas de las compuertas 491-CR2 y 491-CR4
",,"- Pérdida de aceite en el reductor. Los engrasadores están al tanto y van controlando el nivel, pero hay que planificar el cambio de retenes.
- HECHO: Hay que repaar la compuerta de aguas 491-CR2 por desgaste en los usillos y los casquillos y rodamientos de bronce
- HACER SEGUIMIENTO: Varias ruedas con los rodamientos mal. Se va a meter grasa más a menudo. ",,,,,,"HECHO. Se cambian los tacos. Las vibraciones en el lado acoplamiento del motor han aumenado bastante. Además, el 2x también ha aumentado, indicando desalineación. ",,,,,,,,,,,,,,,,,SE HA HECHO PRUEBA CON GRASA NGLI 1 Y 2,,0.0,
,400,CS.491-TP1,TRANSPORTADOR PLACAS ELEVADORES SILO Nº2,TP,,,,,,,,,,,,,,,,,,,,,,,,,,,Revisar Desgaste Sectores Dentados Ruedas Motrices.,,0.0,
,400,CS.491-TS1,TRITURADORA DE CLINKER,TS,,"- Se realiza Medición de desgaste Parcial el 21/OCT durante PIH por atranque de ciclón. Desgaste máximo 18-23mm vs 25mm Alarma pedido 50mm Alarma reemplazo, en martillos con insertos cerámicos.
- Se realiza Sustitución de correas de accionamiento, correas de fabricantes diferentes. Sustituir nuevamente en Paro HR 25SDK1B1.",,,,,,,,,,,,,,,,,,,,,,,,,Revisar Estado Desgaste Martillos en Paro corto imprevisto Horno.,,0.0,
,400,CS.4A1-EC1,ELEVADOR DE CANGILONES BYPASS.,EC,,,,"HECHO: El labio de descarga está gastado, retornando material por encima de los cangilones. Reemplazarlo",,,,,,,,,,HACER SEGUIMIENTO: Se ha acortado la cadena. A lo largo de este año los valores de desgaste muy probablemente lleguen al límite de pedido. Controlar la evolución. Todo indica que habrá que cambiar la cadena en la parada de 2024,,,,,,,,,,,,,,,0.0,
,400,CS.4A1-PE1,ELECTROFILTRO BYPASS,PE,,,,"Revisar Diego Carvajal Estado actual Filtro!
Varias intervenciones a realizar derivadas del informe de FLSMITH de la parada 22SDK1B1, y de la revisión realizada en la parada 22SDK1S3 a destacar:
- Los mecanismos de los golpeos de los electrodos parte superior 4A1-PE1.MA, 4A1-PE1.ML y 4A1-PE1.MI tienen el soporte del mecanismo roto. Se quedan bloqueados a falta de reparar
- 4 barras de golpeo caídas en el campo 2. Hay que soportar para evitar balanceo y se produzca un corto
- En el campo 2 también hay una placa partida, un martillo en mal estado y 3 yunques partidos. Reparar 
- Sustitución de las puertas de los fondos de las tolvas del filtro (por entrada de aire falso)
- Sustitución de los cables de A/T. Se encuentran en mal estado",,,,,,,,,,,,,,,,,,,,,,,Revisar con Diego Carvajal Estado actual del Filtro.,,3.0,ALTA:3.0
,400,CS.4A1-VE1,VENTILADOR EXHAUSTOR BYPASS,VE,,,,Pendiente Sustituir Oido (OT: 94323405),,,,,,Comprobar el espectro y forma de onda de vibraciones. Parece holgura estructural,,,,,,,,,,,,,,,,,Hacer seguimiento a la corrosión de la voluta,,0.0,
,400,CS.4A1-VT5,VENTILADOR AIRE FRÍO BY-PASS,VE,,,,Pendiente Sustituir Oido (OT: 94323002),,,,,,,,,,,,,,,,,,,,,,,,,0.0,
